2023-03-06 11:52:12,612 INFO    Thread-13 :14040 [wandb_setup.py:_flush():68] Configure stats pid to 14040
2023-03-06 11:52:12,613 INFO    Thread-13 :14040 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vlads\.config\wandb\settings
2023-03-06 11:52:12,613 INFO    Thread-13 :14040 [wandb_setup.py:_flush():68] Loading settings from c:\Users\vlads\Desktop\HVL\Studie\DAT191 Bachelor\Optimazing klassification of ATLAS detector data (CERN)\notebooks\pyTorch\wandb\settings
2023-03-06 11:52:12,613 INFO    Thread-13 :14040 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'PyTorch', 'entity': 'vladpus', 'root_dir': 'c:\\Users\\vlads\\Desktop\\HVL\\Studie\\DAT191 Bachelor\\Optimazing klassification of ATLAS detector data (CERN)\\notebooks\\pyTorch', 'sweep_id': 'xnw2i60f', 'run_id': 'u4g4u714', 'sweep_param_path': 'c:\\Users\\vlads\\Desktop\\HVL\\Studie\\DAT191 Bachelor\\Optimazing klassification of ATLAS detector data (CERN)\\notebooks\\pyTorch\\wandb\\sweep-xnw2i60f\\config-u4g4u714.yaml'}
2023-03-06 11:52:12,618 INFO    Thread-13 :14040 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-06 11:52:12,618 INFO    Thread-13 :14040 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\vlads\Desktop\HVL\Studie\DAT191 Bachelor\Optimazing klassification of ATLAS detector data (CERN)\notebooks\pyTorch\wandb\run-20230306_115212-u4g4u714\logs\debug.log
2023-03-06 11:52:12,618 INFO    Thread-13 :14040 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\vlads\Desktop\HVL\Studie\DAT191 Bachelor\Optimazing klassification of ATLAS detector data (CERN)\notebooks\pyTorch\wandb\run-20230306_115212-u4g4u714\logs\debug-internal.log
2023-03-06 11:52:12,618 INFO    Thread-13 :14040 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000025E34C53100>
2023-03-06 11:52:12,619 INFO    Thread-13 :14040 [wandb_init.py:init():532] calling init triggers
2023-03-06 11:52:12,619 INFO    Thread-13 :14040 [wandb_init.py:init():538] wandb.init called with sweep_config: {'batch_size': 8, 'dropout': 0.5, 'learning_rate': 0.01, 'optimizer': 'adam'}
config: {}
2023-03-06 11:52:12,619 INFO    Thread-13 :14040 [wandb_init.py:init():588] starting backend
2023-03-06 11:52:12,619 INFO    Thread-13 :14040 [wandb_init.py:init():592] setting up manager
2023-03-06 11:52:12,624 INFO    Thread-13 :14040 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-06 11:52:12,630 INFO    Thread-13 :14040 [wandb_init.py:init():599] backend started and connected
2023-03-06 11:52:12,649 INFO    Thread-13 :14040 [wandb_run.py:_config_callback():1250] config_cb None None {'batch_size': 8, 'dropout': 0.5, 'learning_rate': 0.01, 'optimizer': 'adam'}
2023-03-06 11:52:12,650 INFO    Thread-13 :14040 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-06 11:52:12,650 INFO    Thread-13 :14040 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-06 11:52:12,650 INFO    Thread-13 :14040 [wandb_init.py:init():687] updated telemetry
2023-03-06 11:52:12,690 INFO    Thread-13 :14040 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-06 11:52:13,261 INFO    Thread-13 :14040 [wandb_run.py:_on_init():2134] communicating current version
2023-03-06 11:52:13,384 INFO    Thread-13 :14040 [wandb_run.py:_on_init():2143] got version response 
2023-03-06 11:52:13,384 INFO    Thread-13 :14040 [wandb_init.py:init():775] starting run threads in backend
2023-03-06 11:52:21,260 INFO    Thread-13 :14040 [wandb_run.py:_console_start():2114] atexit reg
2023-03-06 11:52:21,260 INFO    Thread-13 :14040 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-06 11:52:21,260 INFO    Thread-13 :14040 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-06 11:52:21,260 INFO    Thread-13 :14040 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-06 11:52:21,260 INFO    Thread-13 :14040 [wandb_init.py:init():817] run started, returning control to user process
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [wandb_run.py:_finish():1854] finishing run vladpus/PyTorch/u4g4u714
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [jupyter.py:save_history():449] not saving jupyter history
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 1
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [wandb_run.py:_restore():2066] restore
2023-03-06 11:52:21,261 INFO    Thread-13 :14040 [wandb_run.py:_restore():2072] restore done
2023-03-06 11:52:25,432 INFO    Thread-13 :14040 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-06 11:52:25,432 INFO    Thread-13 :14040 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-06 11:52:25,435 INFO    Thread-13 :14040 [wandb_run.py:_footer_sync_info():3398] logging synced files
